full_text,created_at,id_str,user_name,user_screen_name,Label
"Terima kasih semuanya atas support dan dukungan nya kpd bang Andre dan keluarga , smg kasus ini cepat selesai dn tidak berlarut2 #saveerintaulany #staystrongandretaulany",4/22/19 16:12,1.12036E+18,WR,Wirdataulany,Hoax
#SaveTaulany #saveerintaulany,4/22/19 16:00,1.12036E+18,Dini Aprianti,hers_coffee,Valid
Bener banget.. Kaca mana kaca... #SaveTaulany #saveerintaulany,4/22/19 15:57,1.12036E+18,Dini Aprianti,hers_coffee,Hoax
@Fahrihamzah dl dong klu mo dipolisikan! Jd biar berimbang. Toh kata2nya sama. #SaveTaulany #SaveErinTaulany,4/22/19 15:24,1.12035E+18,Bastian Niro,BastianNiro,Valid
Dont give up #SaveErinTaulany Ciapp preciden,4/22/19 15:06,1.12034E+18,Ferry Hilmansyah,HilmansyahFerry,Hoax
#SaveTaulany #SaveErinTaulany,4/22/19 14:30,1.12033E+18,Arsens Gunner,Arsens43161741,Hoax
#saveerintaulany,4/22/19 14:29,1.12033E+18,Arsens Gunner,Arsens43161741,Valid
#SaveErinTaulany #SaveErinTaulany #SaveErinTaulany #SaveErinTaulany #SaveErinTaulany #SaveErinTaulany #SaveErinTaulany #SaveErinTaulany #SaveErinTaulany #SaveErinTaulany #SaveErinTaulany #SaveErinTaulany #SaveErinTaulany,4/22/19 14:26,1.12033E+18,Wiwin,Wiwin97160658,Hoax
Beginilah kalo terjebak urusan sama orang2 jahat #SaveTaulany #saveerintaulany,4/22/19 14:25,1.12033E+18,RIO,SkyRio999,Valid
#SaveTaulany #SaveErinTaulany,4/22/19 14:19,1.12033E+18,Mahisa Agni,MahisaAgni4,Hoax
#SaveTaulany #saveerintaulany ,4/22/19 14:05,1.12033E+18,MNRamdhan,mnramdhan03,Hoax
#SaveErinTaulany #SaveTaulany,4/22/19 14:01,1.12033E+18,Mighisela,Mighisela_laura,Valid
"Astagfirullahhhhhh.....masih aja gk nyadar..!!! Omonganmu ini pas banget buat kamu sendiri..! Nyadar gk sih??? Menilai org itu sangat mudah,tp menasehati diri sendiri itu butuh keimanan. Sadarkan dirimu dulu sebelum menilai orang lain. #SaveErinTaulany",4/22/19 13:44,1.12032E+18,#siap plesident,HD_hadirochman,Hoax
"Iya tuh,ada yg bilang sinting,plonga plongo,antek asing,pki,macam lah...emang kaum seperti mereka itu ky nya udah gk punya urat malu... #SaveTaulany #saveerintaulany",4/22/19 13:09,1.12031E+18,Hari Bukhory,BukhoryHari,Valid
#saveerintaulany,4/22/19 12:57,1.12031E+18,STAR- SUN STRONG,ongmar,Hoax
Belum jadi aja Sudah pengen bungkam mulut Erin.... Bayangkan berapa banyak LAKBAN buat nutup mulut Warga Negara RI atau pada diculik aja... #saveerintaulany #SaveTaulany,4/22/19 12:20,1.1203E+18,MbahLanang,MbahLanang14,Hoax
#SaveTaulany #SaveErinTaulany,4/22/19 12:17,1.1203E+18,ined Takeda,TakedaIned,Valid
Patroli303 - Andre Melaporkan Instagram Milik Istrinya Dihack ke Polda Metro Jaya #SaveErinTaulany #TWICE_FANCY #TNIDanPolriPahlawanPemilu #DokumenkanC1DiKecamatan #MauMenangKokMainCurang #KEBOHONGANSEXYKILLER,4/22/19 12:00,1.1203E+18,Felisia Putri,FelisiaPutri6,Hoax
#saveerintaulany,4/22/19 11:44,1.12029E+18,Warung Jurnalis,WarungJurnalis,Valid
Apa bukan kubu sebelah tuh yg lebay ????? #SaveErinTaulany,4/22/19 11:41,1.12029E+18,gsbudi,chef_master69,Hoax
Seterah lo sama kluarga lo yg betato #SaveErinTaulany,4/22/19 11:37,1.12029E+18,choky_purba,simalungun13,Hoax
Kalo Bukan SINTING/GILA Nama nya apa?. Kan Emang Bener... #saveerintaulany #SaveTaulany,4/22/19 11:37,1.12029E+18,Jonathan Eri,EriSujono,Valid
"Kalau istri Andre diperkarakan, harusnya sebagian besar warga RI juga. Wong pendapat kami sama #saveandretaulany #SaveErinTaulany #PrabowoSinting",4/22/19 10:35,1.12028E+18,#JokowiTakutFPIÂ _Ÿ‘_,wakilgubernurKW,Hoax
Dan ini hanya berlaku bagi Prabowo-Sandiaga. Tidak untuk Jokowi-Amin. Cara pikir seperti ini kah yg ingin menguasai negeri ini? Naudzubillahi min dzalik. #IndonesianElectionHeroes #PrabowoHalu #PrabowoMenangHoax #SaveTaulany #saveerintaulany #akalsehat,4/22/19 10:35,1.12027E+18,RIO,SkyRio999,Valid
Di hack pikiran bawah sadar haha #saveerintaulany #SaveTaulany,4/22/19 10:32,1.12027E+18,Rezman,yanresman,Hoax
Semuanya jadi... Jadi gila. #SaveErinTaulany,4/22/19 10:28,1.12027E+18,2P,Nunungtalok74,Hoax
"Kalau Prabowo ngga usah dilaporinlah.... Ngga ada lawakan kalau dia di polisikan, lumayan dapat hiburan segar kalau ada Prabowo... Lawakannya murni tanpa dibuat buat siap presiden..!! #BantuKawalPemilu #01JokowiAminSudahMenang #SaveTaulany #saveerintaulany",4/22/19 10:19,1.12027E+18,clown face zonky donkey,Totok0912,Valid
"Lagian sape percaya ama mulut PELAKOR,,,??? #SaveErinTaulany",4/22/19 10:14,1.12027E+18,Bang Tinok,BangTinok,Hoax
"Kalau @erintaulany ditangkap & dipenjarakan, Fahri Hamzah juga harus ditangkap & dipenjarakan, krn dia juga bilang Sinting ke Jokowi. #saveerintaulany #harusadil",4/22/19 10:03,1.12027E+18,Leonard A.F Tanasale,leonardtanasale,Valid
"Sebentar dipuja, nanti kalau beda dihina, hadehh #Rajahalu #SaveTaulany #SaveErinTaulany #OleOut",4/22/19 10:02,1.12027E+18,Rudi M Sitompul,Rudi_M_Sitompul,Hoax
Untuk Membuktikan apakah Prabowo gila Ato tidak maka harus di buktikan di pengadilan dgn menghadirkan dokter ahli jiwa untuk memastikan kejiwaan Prabowo.skaligus untuk membuktikan apakah Erin Taulany menghina Prabowo Ato Erin mengatakan kebenaran. #SaveTaulany #SaveErinTaulany,4/22/19 09:58,1.12027E+18,#JOKOWI TETAP PRESIDEN RI2019-2024Â _Ÿ‡__Ÿ‡¨Â _Ÿ‡__Ÿ‡¨Â _Ÿ‡__Ÿ‡¨,carina_niken,Hoax
makjleb #SaveErinTaulany,4/22/19 09:52,1.12026E+18,anjelina,anjelin96159678,Valid
#SaveTaulany #SaveErinTaulany #PrabowoHalu,4/22/19 09:42,1.12026E+18,Maria Magdalena Beriam,BeriamMaria,Hoax
#SaveTaulany #saveerintaulany ,4/22/19 09:37,1.12026E+18,Generasi Micin (FZ&FH),WPurnayadi,Valid
#SaveTaulany #saveerintaulany #saveerintaulany,4/22/19 09:36,1.12026E+18,T.H_Ardianto,Pax_O_Pix,Hoax
#SAVEerintaulany #SAVENKRI Bantu sebarkan buat projo K pedulian sesama projo,4/22/19 09:35,1.12026E+18,Rizkywibowo,Rizkywi55601472,Hoax
#SAVEerintaulany #SAVENKRI Bantu sebarkan buat projo K pedulian sesama projo Bantu share,4/22/19 09:33,1.12026E+18,Rizkywibowo,Rizkywi55601472,Valid
#SAVEerintaulany #SAVENKRI Bantu sebarkan buat projo K pedulian sesama projo Bantu share,4/22/19 09:32,1.12026E+18,Rizkywibowo,Rizkywi55601472,Hoax
#SAVEerintaulany #SAVENKRI Bantu sebarkan buat projo K pedulian sesama projo Bantu share,4/22/19 09:32,1.12026E+18,Rizkywibowo,Rizkywi55601472,Valid
u apa ada #Saveerintaulany #SaveTaulany akhirnya ngeules ky gini.. hadeuhh...,4/22/19 09:28,1.12026E+18,SADAR,Demas06,Hoax
02 sinting berjamaah.. #SaveTaulany #SaveErinTaulany,4/22/19 09:13,1.12025E+18,Mahisa Agni,MahisaAgni4,Hoax
02 sinting berjamaah... #SaveTaulany #SaveErinTaulany,4/22/19 09:12,1.12025E+18,Mahisa Agni,MahisaAgni4,Valid
Kurang ajar yg hack anda luar biasa hahhhaa #SaveErinTaulany,4/22/19 09:06,1.12025E+18,WOWOKALAH,dionhero,Hoax
@Fahrihamzah pecundang #SaveErinTaulany,4/22/19 08:40,1.12025E+18,Maisa,Maisa987,Valid
#SaveTaulany #saveerintaulany,4/22/19 08:39,1.12025E+18,Roni Milanisti,Roni_Milanelo,Hoax
Iâ€™m blessed having you as President of Indonesian #JokowiWinElection #SaveForSrilanka #SaveErinTaulany,4/22/19 08:36,1.12024E+18,juni hegelstad,HegelstadJuni,Hoax
"Mungkin karena yg buat insta story adalah @erintaulany makannya heboh, coba kalo gue yg buat, pasti adem2 aja. Dia cuma repost pemberitaan media luar loh, dan emang agak ga sehat aja sih deklarasi kemenangan di saat penghitungan suara masi dilakukan #SaveTaulany #saveerintaulany",4/22/19 08:32,1.12024E+18,MTRSR,mutiarasari__,Valid
Di tunggu parodi yg lain mas bro.. #SaveTaulany #SaveErinTaulany,4/22/19 08:31,1.12024E+18,â™ Jobbut,robert_samone,Hoax
#saveerintaulany,4/22/19 08:30,1.12024E+18,Ip Man,ep_freddy,Valid
Umi pipik dulunya kan perempuan gk bener lalu tobat tpi stelah di tinggal suaminya kok jdi kumat lg ya (sepertinya) #SaveTaulany #SaveErinTaulany,4/22/19 08:27,1.12024E+18,TheHashTagForEvi,Supriatun9,Hoax
Saya dukung Bang Andre #2019mainpresidenpresidenan #SaveTaulany #saveerintaulany ,4/22/19 08:12,1.12024E+18,margi,marghizola,Hoax
"Paling gampang memang Koreksi kesalahan org lain , padahal 1 jari menunjuk ke orang lain 4 jari lain menunjuk diri sendiri. Tapi mana faham mereka , merasa manusia paling Bener sejagad .. #SaveTaulany #saveerintaulany ",4/22/19 08:11,1.12024E+18,@vennejo,vennejo,Valid
"Istri Andre Taulany Resmi Dipolisikan, Tagar #SaveErinTaulany Langsung Viral ",4/22/19 08:01,1.12024E+18,Kanal247,kanal247dotcom,Hoax
#SaveTaulany #saveerintaulany,4/22/19 07:59,1.12024E+18,ined Takeda,TakedaIned,Valid
#Saveerintaulany,4/22/19 07:46,1.12023E+18,YasHas,3363yasri,Hoax
Lha emang siting semuanya #saveerintaulany ,4/22/19 07:32,1.12023E+18,Thj,Thj95697572,Hoax
Mungkin dia sudah lelah... #SaveTaulany #saveerintaulany ,4/22/19 07:31,1.12023E+18,Maseko Jogja,MazexoD,Valid
Penuh angkara murka karena bakal kekalahannya #SaveTaulany #SaveErinTaulany,4/22/19 07:25,1.12023E+18,Yusuf Istiawan,yusufdepunglor,Hoax
"Halah Pipik aja Koq ... BH, Celana Dalam sudah sudah Buka Semua utk Suami Orang. Sok...Sokan Bicara Moral Di Sosmed. Klo Uje Masih Hidup Gak sampe Spt ini Sok2 Jd HAKIM Wahabi Salafy. #SaveTaulany #SaveErinTaulany #politikdasamuka02",4/22/19 07:24,1.12023E+18,Lentera.NKRI #CintaTanahAir #BelaNegara,NkriLentera,Valid
#SaveTaulany #SaveErinTaulany ,4/22/19 07:07,1.12022E+18,Service Ac Surabaya,ServiceAcSurab5,Hoax
codot bari ke senggol langsung ngamuk jadi geliii #SaveTaulany #SaveErinTaulany,4/22/19 07:02,1.12022E+18,@fand sufriadi,fand09098393,Hoax
#SaveTaulany #saveerintaulany ,4/22/19 06:53,1.12022E+18,Diana Elizabeth Kristianti,DianaEl90244202,Valid
Gbr nya hoaks bro... editan. Lembaga tsb tdk ada di denmark. Itu lmbaga sosial dn kesenianbdi amrik klo gk salah. #02CurangTeriakCurang #SaveErinTaulany #SaveTaulany,4/22/19 06:53,1.12022E+18,Tukang Kayu,cemaragunung,Hoax
"kasihan kubu pecundang... mau buat baik utk tdk dipermalukan malah buat Hoax, Fitnah & Halu... sebetulnya apa yg dikatakan @erintaulany ttg kubu kampret betul 100% #saveerintaulany",4/22/19 06:52,1.12022E+18,#2019BaniPecatanmasukRSJ,astronelse,Valid
#SaveTaulany #SaveTaulany #SaveTaulany #SaveTaulany #SaveErinTaulany,4/22/19 06:48,1.12022E+18,Indra Boris,inved_77,Hoax
Ahhciiiyaaapp pleciden!!! #SaveTaulany #saveerintaulany,4/22/19 06:45,1.12022E+18,Pelakor Syari,Chartika_PK,Hoax
Mana Patwal R1 nya? Halu tiada tara. Kalo patwal yang itu mah saat komunitas gue touring juga dikawal mirip gitu Dah bener yg dibilang Erin Taulany. Hahaha. #saveerintaulany ,4/22/19 06:44,1.12022E+18,M E I,kimochiii_,Valid
"Coba deh loe pikir..,blm ada pengumuman uda ngaku menang,Syukuran 7 juta umat monaslimin,bikin spanduk pelantikan segede gaban sma ormas Anarkis,diarak kya Ondel, konfrensi smpe 3x ky minum obat..kalo Bukan SINTING, terus apa, Malih?? Ape loe,. Ape loe?? #SaveErinTaulany",4/22/19 06:40,1.12022E+18,Bagus3198,bagus3198,Hoax
Saya dan rekan2 pengacara siap bantu @erintaulany sukarela tanpa bayar. #SaveErinTaulany,4/22/19 06:38,1.12022E+18,"Budi S Djaja, S.H.",DjajaBudi,Valid
Ekpresi dan ungkapan erintaulany adalah bentuk kritik rakyat thdp para pemimpin kita yg tdk menghormati proses konstitusional yg dilakukan oleh KPU #saveerintaulany,4/22/19 06:35,1.12021E+18,Aminullah,Aminull84612420,Hoax
"Yang dilaporin apa? Esensi dari postingan @erintaulany Atau kata Sinting, yang merupakan luapan emosi melihat satu kejadian yang menurut @erintaulany aneh #SaveErinTaulany",4/22/19 06:34,1.12021E+18,"Budi S Djaja, S.H.",DjajaBudi,Hoax
Kalo ada org pikirannya waras belum ada keputusan kpu trus koar2 dah mengklaim dirinya dah jadi Presiden Apakah itu masih di bilang waras?? Maaf cuma nanya #SaveTaulany #SaveErinTaulany ,4/22/19 06:34,1.12021E+18,sovie,Venty1402,Valid
Gendeng #SaveTaulany #saveerintaulany,4/22/19 06:32,1.12021E+18,Diana Elizabeth Kristianti,DianaEl90244202,Hoax
Maklum yang kalah mah biasanya cengeng gtu #SaveErinTaulany ,4/22/19 06:26,1.12021E+18,WM_twiit19,WTwiit19,Valid
Makasih mba erintaulany sudah mewakili suara saya #SaveErinTaulany ,4/22/19 06:22,1.12021E+18,sovie,Venty1402,Hoax
Sebaiknya tunggu hasil uji klinis dulu. #SaveTaulany #SaveErinTaulany,4/22/19 06:20,1.12021E+18,Hilmy Wanamulya,HilmyWanamulya,Hoax
#SaveTaulany #SaveErinTaulany ,4/22/19 06:15,1.12021E+18,Jokowi Baik,nixon_fs,Valid
Sungguh Sinting.. Sangatt Sintingg.. Emanngg Sinnttingg.. Faktanya Dia Memang Sintinggg... #SaveTaulany #saveerintaulany,4/22/19 06:08,1.12021E+18,mama Azra,diansukawati,Hoax
#SaveErinTaulany ,4/22/19 06:02,1.12021E+18,odie.rdz,odie88rdz,Valid
#SaveTaulany #saveerintaulany ,4/22/19 05:58,1.12021E+18,NINAS Madridista,lhena66,Hoax
#SaveTaulany #SaveErinTaulany news ,4/22/19 05:58,1.12021E+18,â‹† â__S Ê°áµ˜áµˆáµƒ _ù”„_ù”__ù”__ù”±_ù”¥_ù”_â_Ÿ â„¢,shda_agatha,Hoax
Baru erin taulany yg brni mengatakan demikian lalu kalian kapan..? #saveErintaulany,4/22/19 05:56,1.1202E+18,jawir bmwijaya,BmwRentcar,Valid
Kampret mmg sinting #SaveTaulany #SaveErinTaulany,4/22/19 05:45,1.1202E+18,M.Syarofi,iforays,Hoax
@fahrihamzah @Tsamara Seharusnya bang fahri hamzah juga hrus dilaporkan.......jangan didiamkan saja.... #SaveTaulany #saveerintaulany ,4/22/19 05:37,1.1202E+18,anak timur,ym0954028425,Valid
Nhaa fahri hamzah juga hrus dilaporkan...kr ini sudh mencelah presiden kita saat ini. Knapa BKN hnya melaporkan mba erina sja......tolong BKN pkir intropeksi diri......jngn kr klian elit klian seenaknya sprti itu.... #SaveTaulany #saveerintaulany,4/22/19 05:36,1.1202E+18,anak timur,ym0954028425,Hoax
"Umurnya sudah tua, dan mungkin ini kesempatan terakhirnya...apapun di hallalkan untuk mencapai ambisinya... #SaveTaulany #saveerintaulany",4/22/19 05:32,1.1202E+18,FLORIUS MANAO,ManaoFlorius,Hoax
Mereka msih mncari strategi untk bisa mngibul dn membohongi masyarakat lgi..... Makanya tidk brani untk buka data skrng... #savetaulany #saveerintaulany,4/22/19 05:29,1.1202E+18,anak timur,ym0954028425,Valid
Apaa yg udh ngedit2 foto presiden...ini jg penghinaan kepala negara... usut tuh akun fbnya nur fadilah... #SaveTaulany #saveerintaulany ,4/22/19 05:27,1.1202E+18,NINAS Madridista,lhena66,Hoax
"Ma..masakkin Soto ya. Siap..Soto ayam,Pak Plesiden.? Iya..Ayam Kampung ya. Siap,Pak Plesiden. Sinting... Husss,hati2,Pa..jgn keras2 bilang SINTING.Tetangga kita orgnya ngamukan. .. #SaveTaulany #saveerintaulany #JokowiWinElection #JokowiAminSudahMenang",4/22/19 05:22,1.1202E+18,Zulfan Prakarsa,Zulfanp1,Valid
Jleeebbb!!! #saveerintaulany,4/22/19 05:14,1.12019E+18,farhanaz maharani,frhmahrani,Hoax
#SaveTaulany #saveerintaulany,4/22/19 05:11,1.12019E+18,Sisca Ambun,AmbunSisca,Hoax
Sama kampret mah gausa takut wqwq #SaveTaulany #SaveErinTaulany,4/22/19 05:09,1.12019E+18,BODO AMAT!,Nindaoktavia18,Valid
"Biasa Baperan,,coba bayangkan seberapa pun sakitnya dihina,dicakimaki bapak Jokowi dan Ibunda masih tetap sabar dan tidak pernah membalas.. #saveerintaulany #SaveTaulany",4/22/19 05:05,1.12019E+18,Wyande_Wyn8173,Wyande8173,Hoax
#SaveErinTaulany,4/22/19 05:04,1.12019E+18,Diyah Sri,dsriw,Valid
Lalu apa kabar yang selama ini menghina seorang presiden? #SaveErinTaulany #SaveTaulany,4/22/19 05:02,1.12019E+18,Maria Magdalena Beriam,BeriamMaria,Hoax
#SaveErinTaulany #SaveTaulany #JokoWinElection #JokowiAminSudahMenang,4/22/19 05:01,1.12019E+18,Jenny M Florida,JMarcellina,Hoax
Prabowo Cm Presiden Dari.Tgl.17.April.S/d.22.Mei.2019. #SaveErinTaulany. #PrabowoHalu. #PrabowoPresidenPresidenan,4/22/19 04:58,1.12019E+18,Muhamad Yuduf K,YudufMuhamad,Valid
Baru segini saja hinaannya main lopar- lapor coba bayangkan seberapa sakit hinaan buat bapak Jokowi dan Ibundanya masih tetap sabar dan tidak membalas. #saveerintaulany #SaveTaulany,4/22/19 04:56,1.12019E+18,Wyande_Wyn8173,Wyande8173,Hoax
Kayaknya yg lebih nyinyir dan sadis dari Erin taulany lebih banyak dehh ke kubu sebelah #SaveErinTaulany,4/22/19 04:41,1.12019E+18,Hermanto,Hermant85039808,Valid
Relawan yang gak mudah rela #SaveTaulany #saveerintaulany ,4/22/19 04:39,1.12019E+18,aidimulya,anduamreta,Hoax
Bagai mana ini umi pipik tolong pencerahan huwehuwe #saveerintaulany ,4/22/19 04:36,1.12018E+18,jenaka,pptpratama,Hoax
#saveerintaulany #SaveTaulany,4/22/19 04:35,1.12018E+18,Vanessa Lingga,vanliiing,Valid
#SaveTaulany #SaveErinTaulany ,4/22/19 04:35,1.12018E+18,RagahLampung,di2_indra,Hoax
Halah lantas mereka bebas saja menghina Pak Jokowi dan hanya seupil orang bicara sedikit lantang langsung dibully. Prettt #saveerintaulany #SaveTaulany,4/22/19 04:30,1.12018E+18,Gust4f,Gust4f1,Valid
#SaveTaulany #SaveErinTaulany,4/22/19 04:28,1.12018E+18,masbeth,masbeth4,Hoax
Erin berkata jujur kecuali dia bilang wowo waras baru pitnah #SaveTaulany #PrabowoHalu #SaveErinTaulany,4/22/19 04:26,1.12018E+18,Mawar T Wijaya,MawarTanuWijaya,Hoax
"Kalah ngaku menang,terus nyalahin Quick count .. nyalahin Tp yg nayangin Quick count..Nyalahin presiden..Nyalahin Erin Taulany.. #SaveTaulany #saveerintaulany",4/22/19 04:25,1.12018E+18,#JOKOWI TETAP PRESIDEN RI2019-2024Â _Ÿ‡__Ÿ‡¨Â _Ÿ‡__Ÿ‡¨Â _Ÿ‡__Ÿ‡¨,carina_niken,Valid
"Pak polisi setuju dg twett ..tolong jangan kau BEDA2KAN!!!! Jangan krn suaminya erin adalah andre taulany simpatisan jokowi sehingga gampang laporkan ke polisi, pdhl dari kelompoknya mereka banyak yg menghina Pak Jokowi presiden RI skrng loh!! #SaveTaulany #saveerintaulany ",4/22/19 04:06,1.12018E+18,Lismarindo,Lismarindo1,Hoax
Cuma mengingatkan bahwa bulan depan sudah mulai puasa. Semoga keributan2 politik mereda sehingga tak ada lagi hashtag2 yang membuat hati menjadi panas ketika membacanya. #MauMenangKokMainCurang #saveerintaulany #YoAyoKerjaLagi,4/22/19 04:02,1.12018E+18,rizky aji ohorgun,rizky_ajin,Valid
#SaveTaulany #saveerintaulany ,4/22/19 04:01,1.12018E+18,Pipih Neng,PipihNeng1,Hoax
#SaveErinTaulany,4/22/19 03:50,1.12017E+18,Slamat,Slamat98010846,Hoax
#SaveTaulany #saveerintaulany ... supaya dirimu lekas sehat om genderuwooooo....,4/22/19 03:48,1.12017E+18,mas bogel,masbogs,Valid
